ASTM,"ASTM International ( American Society for Testing and Materials ) — американская международная организация , разрабатывающая и издающая добровольные стандарты"
METI,METI ( англ . Messaging to Extra-Terrestrial Intelligence — послания внеземным цивилизациям ) — попытки передачи межзвёздных посланий от человечества
Акторно-сетевая теория,"Акторно-сетевая теория ( Actor-network theory , ANT ) известна также как « социология перевода » ( sociology of translation )"
Пузырь Алькубьерре,"Пузырь Алькубьерре — идея , основанная на решении уравнений Эйнштейна , предложенная мексиканским физиком-теоретиком Мигелем Алькубьерре , в которой космический"
Amazon SNS,Amazon Simple Notification Service ( англ . Amazon SNS ) — сервис посылки уведомлений между сетевыми компонентами Amazon Web Services
Американский национальный институт стандартов,"Америка́нский национа́льный институ́т станда́ртов ( англ . American national standards institute , ANSI ) — объединение американских промышленных и деловых"
Техника в Древнем Египте,Техника в Древнем Египте отражает ранний технологический уровень древних цивилизаций . В целом техника Древнего Египта была консервативна и лишь
Датчик угловой скорости,"Да́тчик углово́й ско́рости ( ДУС ) — устройство , первичный прибор ( датчик ) для измерения угловой скорости поворота корпуса"
Антиядерное движение,"Антиядерное движение — общественное движение против различных ядерных технологий , в особенности против производства , испытания и применения ядерного оружия"
API,"API ( программный интерфейс приложения , интерфейс прикладного программирования ) ( англ . application programming interface , API [ эй-пи-ай"
Прикладная физика,"Прикладная физика — комплекс научных дисциплин , разделов и направлений физики , ставящих своей целью решение физических проблем для конкретных"
Послание Аресибо,"Посла́ние Ареси́бо — это радиосигнал , который был послан 16 ноября 1974 года из обсерватории Аресибо ( Пуэрто-Рико ) в"
Сильный и слабый искусственные интеллекты,"Сильный и слабый искусственные интеллекты — гипотеза в философии искусственного интеллекта , согласно которой некоторые формы искусственного интеллекта могут действительно"
Искусственный интеллект,"Иску́сственный интелле́кт ( ИИ ; англ . artificial intelligence , AI ) — свойство интеллектуальных систем выполнять творческие функции ,"
Искусственная утроба,"Искусственная утроба ( искусственная матка ) — гипотетическое приспособление , которое предназначено для вынашивания плода без участия живого существа ."
A-GPS,"A-GPS ( англ . Assisted GPS ) — технология , ускоряющая « холодный старт » GPS-приёмника . Ускорение происходит за"
Авиагоризонт,"Авиагоризо́нт — бортовой гироскопический прибор , используемый в авиации для определения и индикации продольного и поперечного углов наклона летательного аппарата"
Автоматическая идентификационная система,"АИС ( Автоматическая идентификационная система , ( англ . AIS Automatic Identification System ) — система в судоходстве , служащая"
AICC,"Aviation Industry Computer-Based Training Committee ( AICC ) — международная ассоциация , объединяющая профессионалов в сфере обучения , основанного на"
Колея ( транспорт ),Колея́ — в транспорте поперечное расстояние между серединами отпечатков шин на дороге . Колея передней оси может отличаться от колеи
B2MML,B2MML ( англ . Business-to-Manufacturing Markup Language — язык разметки связи между бизнесом и производством ) — XML-реализация семейства стандартов
Бейсик-инглиш,Бе́йсик-и́нглиш ( англ . Basic English — базовый английский ; иногда название расшифровываются как British American Scientific International Commercial —
Белорусский парк высоких технологий,Парк высоких технологий ( ПВТ ) — особая экономическая зона со специальным налогово-правовым режимом в Республике Беларусь для развития ИТ-бизнеса
Мозг в колбе,"Мозг в колбе — в философии — это разновидность мысленных экспериментов , иллюстрирующих зависимость человека в понимании действительности от его"
Контроль сознания,"Управле́ние созна́нием ( англ . mind control ) , промыва́ние мозго́в ( англ . brainwashing , из китайского xǐ năo"
Бриколаж,"Бриколаж ( от фр . bricolage ) — термин , использующийся в различных дисциплинах , в том числе в изобразительном"
"Фуллер , Ричард Бакминстер",Ричард Бакминстер Фуллер ( англ . Richard Buckminster Fuller ; 12 июля 1895 — 1 июля 1983 ) — американский
Межзвёздный прямоточный двигатель Бассарда,"Межзвёздный прямоточный двигатель Бассарда ( англ . Bussard ramjet ) — концепция ракетного двигателя для межзвёздных полётов , предложенная в"
CALS-технологии,"CALS-технологии ( англ . Continuous Acquisition and Lifecycle Support — непрерывная информационная поддержка поставок и жизненного цикла изделий ) ,"
CBEFF,"CBEFF ( Common Biometric Exchange File Format ) — единый формат представления биометрических данных , который предлагается для замены биометрических"
Секс-робот,"Секс-робот — антропоморфные секс-куклы-роботы . По состоянию на 2017 год не существует полностью функционирующих секс-роботов , но такая технология ,"
Карета,"Каре́та ( от итал . carretta < от лат . carrus — повозка ) , или конный экипаж — закрытая"
Катапульта,"Катапульта ( лат . catapulta от др.-греч . καταπέλτης ) — греческий термин , которым обозначается любая метательная машина ."
Cell Global Identity,Cell Global Identity ( « Глобальный идентификатор соты » ) является стандартным идентификатором сети GSM и используется для идентификации конкретной
Change.org,"Change.org — онлайн-платформа , предназначенная для размещения петиций , ставящая своей целью предоставление инструментов для продвижения гражданских инициатив и решения"
