,aktienfonds bezeichnet einsatz derivaten genauso steigende kurse setzen long-position fallende kurse spekulieren short-position grenze long-position entspricht investitionsgrad short-position woraus bezeichnung
russlandkrise,russlandkrise rubelkrise bezeichnet verschiedene faktoren ausgelöste wirtschaftskrise russland russland krise häufig begriff default russ
absolute return,absolute return maß absoluten wertsteigerung anlage gegebenen zeitraum steht relative return maß besseren abschneidens relativ vergleichsbenchmark bezieht siehe alphafaktor
rembourskredit,rembourskredit rãbu r– bankwesen besondere form akzeptkredits grenzüberschreitender warenhandel zugrunde liegt
accord and satisfaction,accord and satisfaction bezeichnet englischen vertragsrecht vertragstyp schuldner vertrag einrede alten vertrag erwirbt schuldner kauft verpflichtung frei geschieht erfüllung ursprünglichen
adam maciejewski,adam maciejewski februar juli vorstandsvorsitzende warschauer wertpapierbörse
airplus,lufthansa airplus servicekarten gmbh sitz neu-isenburg anbieter lösungen business-travel-management bezahlung abrechnung analyse dienstreisen verwaltung reisekosten verschiedenen produkten unterstützt
flugzeugleasing,flugzeug-leasing verschiedenen bedingungen flugzeug nutzung form leasings überlassen unterscheidet dry-lease trockenmiete wet-lease feucht- nassmiete
alphafaktor,alphafaktor α jensen-alpha jensens alpha bezeichnet finanzmarkttheorie maß überrendite positives alpha minderrendite negatives alpha anlage vergleichswert benchmark alphafaktor entspricht aktienrendite
alternative investments,alternative investments marketing-oberbegriff kapitalanlagen anlagestrategien klassischen geldanlagen z b aktien verzinsliche wertpapiere geldmarktpapiere hinausgehen versuchen marktentwicklung fallenden stagnierenden märkten gewinne
altmanscher z-faktor,veröffentlichte z-faktor-modell altman altman z-score multivariate insolvenzprognoseverfahren unternehmen privatpersonen hingegen zeitpunkt multivariate analyseverfahren angewendet
analytisches informationssystem,analytische informationssysteme bezeichnet informationssysteme online analytical processing olap data-mining erlauben daten unternehmens analysieren aufzubereiten entscheidungsfindung herangezogen engeren sinne data-warehouses olap-systeme
antichrese,antichrese griech.-lat gegengebrauch beschreibt pfandrecht überlassung pfandnutzung gläubiger d h kombination nutzungs- verwertungsrecht
surebet,surebet englischen sichere wette nennt wette unabhängig ausgang wette gewinn erzielen surebet regel quoten möglichst vieler buchmacher analysiert solch wette
zahlungsstörung,zahlungsstörung liegt wirtschaft schuldner vertraglich vereinbarten zahlungen termingerecht teilweise erbringen handelt rechtlich leistungsstörung schuldner schuldnerverzug gerät
asiatische option,asiatische option spezielle form exotischen option auszahlungsprofil ausübung differenz ausübungspreis mittelwert kurse basiswertes abhängt
briefkurs,briefkurs brief englisch ask offer rate börsenkurs finanzinstrumente finanzprodukte wirtschaftssubjekt verkauft niedrigste preis bereit wertpapiere devisen sorten edelmetalle sonstiges finanzprodukt
aktiva,aktiva plural aktivum versteht summe unternehmen verfügung stehenden vermögens linken seite bilanz finden gegensatz passiva
anlageklasse,anlageklasse assetklasse englisch asset anlage gruppe anlagen aufgrund gemeinsamer eigenschaften zusammengefasst fasst finanzinstrumente gruppen gemeinsame eigenschaften aufweisen
vermögenspreisinflation,vermögenspreisinflation bezeichnet andauernden preisanstieg vermögenswerten aktien anleihen gold immobilien
kapitalumschlagshäufigkeit,kapitalumschlagshäufigkeit betriebswirtschaftliche kennzahl geschwindigkeit umsatzprozesses güterwirtschaftlichen finanzwirtschaftlichen bereich unternehmens ausdrückt
genehmigtes kapital,genehmigte kapital engl authorised capital 202–206 aktg zugelassenes kapital wert anzahl aktien hauptversammlung aktiengesellschaft durchführung möglichen kapitalerhöhung bar- oder/und sacheinlagen
konsumquote,konsumquote anteil konsumausgaben verfügbaren einkommen privaten haushalte bezeichnet privater haushalt einkommen kauf gütern ausgeben konsum konsum verzichten sparen
sparquote,sparquote bezeichnet volkswirtschaftslehre volkswirtschaftliche kennzahl anteil ausgegebenen einkommen wiedergibt veränderung somit bestandsändernde wirkung positive salden erhöhen schulden verringern
rettungsaktion wirtschaft,rettungsaktion bail-out englisch to bail something out  retten bezeichnet wirtschaft finanzielle hilfsaktion unternehmen staat körperschaft zahlungsunfähigkeit bedroht finanzielle hilfe
bankkonto,bankkonto italienisch conto rechnung konto zahlung umgangssprachliche sammelbezeichnung kontoarten kreditinstitute kunden führen insbesondere versteht hierunter girokonten wichtigste kontoart gesamte bare
